item_id,modifiers,participant_id,session_id,s3_bucket,s3_object_key,face_crop_s3_object_key,face_crop_s3_bucket,fps,video_length,num_frames,resolution,video_codec_original,audio_codec_original,self_face_swap,processing_mode,processing_config_face_swapper_model,demographics_gender,demographics_native_language,demographics_age_group,technical_info_recording_software,technical_info_device_type,technical_info_device_brand_model,is_speaking,gestures,head_direction,dataset_labels,created_at,teams_meeting_id,duration,r_fps,avg_fps,width,height,has_audio,audio_codec_ffprobe,video_codec_ffprobe,frame_count,bit_rate,profile,pix_fmt,chroma_subsampling,color_range,color_space,color_transfer,color_primaries,chroma_location,field_order,time_base,is_likely_vfr,type,vfrdet_vfr_ratio,vfrdet_vfr_frames,vfrdet_total_frames,vfrdet_min_delta,vfrdet_max_delta,vfrdet_is_vfr,dirname
00681--94e0f494-6103-4968-88ac-96d0e8d726b8,raw,681,94e0f494-6103-4968-88ac-96d0e8d726b8,grl-mleng-dsfactory-training-video-data,raw/00681/94e0f494-6103-4968-88ac-96d0e8d726b8.mov,,,30.000790398830667,87.310229,2619,1280x720,h264,aac,,,,Male,English,45–54,Windows Camera App (Windows default),Windows laptop,Lenovo Yoga,False,"[{'category': 'postural', 'type': 'pose', 'description': 'slouch'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point forward'}, {'category': 'affective', 'type': 'gesture', 'description': 'covering mouth'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic writing'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'finger wag'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'deictic', 'type': 'gesture', 'description': 'gesture to left'}, {'category': 'head', 'type': 'pose', 'description': 'head tilt right'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'raised fist'}, {'category': 'facial', 'type': 'pose', 'description': 'smile'}]",variable,['v1.0.0_dataset'],2025-06-16T18:13:36.713339Z,,87.31025,60/1,26190000/872977,1280,720,True,aac,h264,2619,8159548,Main,yuvj420p,yuvj420p,pc,bt709,bt709,bt709,left,progressive,1/30000,True,mp4,0.977464,2559.0,59.0,937.0,1462.0,True,raw/00681
00681--94e0f494-6103-4968-88ac-96d0e8d726b8,facefusion-identity-swap-v1,681,94e0f494-6103-4968-88ac-96d0e8d726b8,grl-mleng-dsfactory-training-video-data,facefusion-identity-swap/00681/00681_94e0f494-6103-4968-88ac-96d0e8d726b8.mov,00014/83286a37-c23d-466a-8c28-0e85b80a5234_face_crop.png,grl-mleng-dsfactory-training-faces,30.000790398830667,87.310229,2619,1280x720,h264,aac,0.0,,inswapper_128,Male,English,45–54,Windows Camera App (Windows default),Windows laptop,Lenovo Yoga,False,"[{'category': 'postural', 'type': 'pose', 'description': 'slouch'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point forward'}, {'category': 'affective', 'type': 'gesture', 'description': 'covering mouth'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic writing'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'finger wag'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'deictic', 'type': 'gesture', 'description': 'gesture to left'}, {'category': 'head', 'type': 'pose', 'description': 'head tilt right'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'raised fist'}, {'category': 'facial', 'type': 'pose', 'description': 'smile'}]",variable,['v1.0.0_dataset'],2025-06-16T18:13:36.713339Z,,87.2977,417521/13917,417521/13917,1280,720,False,,h264,2619,29540444,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/417521,True,mov,,,,,,,facefusion-identity-swap/00681
00040--9a31241c-0c21-4858-a5d7-762998444d77,raw,40,9a31241c-0c21-4858-a5d7-762998444d77,grl-mleng-dsfactory-training-video-data,raw/00040/9a31241c-0c21-4858-a5d7-762998444d77.mov,,,30.00438477439292,63.914688,1916,1280x720,h264,aac,,,,Male,,35–44,Windows Camera App (Windows default),Windows laptop,Dell Latitude 5240,False,"[{'category': 'iconic', 'type': 'gesture', 'description': 'fingers showing small size'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point to self'}, {'category': 'beat', 'type': 'gesture', 'description': 'chin thrust'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'thumbs up'}, {'category': 'head', 'type': 'pose', 'description': 'slow head nod'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away left'}, {'category': 'postural', 'type': 'pose', 'description': 'lean forward'}, {'category': 'postural', 'type': 'pose', 'description': 'legs crossed'}]",variable,['v1.0.0_dataset'],2025-06-13T16:05:56.973323Z,,63.914688,60/1,1437000/47893,1280,720,True,aac,h264,1916,7986046,Main,yuvj420p,yuvj420p,pc,unknown,unknown,unknown,left,progressive,1/30000,True,mp4,0.926371,1774.0,141.0,904.0,1491.0,True,raw/00040
00040--9a31241c-0c21-4858-a5d7-762998444d77,facefusion-v1,40,9a31241c-0c21-4858-a5d7-762998444d77,grl-mleng-dsfactory-training-video-data,facefusion/00040/00040_9a31241c-0c21-4858-a5d7-762998444d77.mov,,,30.00438477439292,63.914688,1916,1280x720,h264,aac,1.0,,inswapper_128,Male,,35–44,Windows Camera App (Windows default),Windows laptop,Dell Latitude 5240,False,"[{'category': 'iconic', 'type': 'gesture', 'description': 'fingers showing small size'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point to self'}, {'category': 'beat', 'type': 'gesture', 'description': 'chin thrust'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'thumbs up'}, {'category': 'head', 'type': 'pose', 'description': 'slow head nod'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away left'}, {'category': 'postural', 'type': 'pose', 'description': 'lean forward'}, {'category': 'postural', 'type': 'pose', 'description': 'legs crossed'}]",variable,['v1.0.0_dataset'],2025-06-13T16:05:56.973323Z,,63.857333,773243/25771,773243/25771,1280,720,False,,h264,1916,26294492,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/773243,True,mov,,,,,,,facefusion/00040
00627--6e940500-e939-4075-9aaa-0e5f22ab2422,raw,627,6e940500-e939-4075-9aaa-0e5f22ab2422,grl-mleng-dsfactory-training-video-data,raw/00627/6e940500-e939-4075-9aaa-0e5f22ab2422.mov,,,30.03003003003003,42.9237,1289,1280x720,h264,aac,,,,Male,English,25–34,QuickTime (Mac default),MacBook (any model),MacBook Air M1,False,"[{'category': 'deictic', 'type': 'gesture', 'description': 'point upward'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point to self'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'facepalm'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'postural', 'type': 'pose', 'description': 'elbows on knees'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'shrug'}, {'category': 'facial', 'type': 'pose', 'description': 'pursed lips'}, {'category': 'head', 'type': 'pose', 'description': 'slow head nod'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic writing'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away left'}]",variable,['v1.0.0_dataset'],2025-06-16T18:16:01.291102Z,,42.95575,10000/333,10000/333,1280,720,True,aac,h264,1289,10698700,Main,yuv420p,yuv420p,tv,bt709,bt709,bt709,topleft,progressive,1/100000,True,mov,,,,,,,raw/00627
00627--6e940500-e939-4075-9aaa-0e5f22ab2422,facefusion-identity-swap-v1,627,6e940500-e939-4075-9aaa-0e5f22ab2422,grl-mleng-dsfactory-training-video-data,facefusion-identity-swap/00627/00627_6e940500-e939-4075-9aaa-0e5f22ab2422.mov,00461/1e441210-7b2e-41d1-afff-d4b9c82e12bc_face_crop.png,grl-mleng-dsfactory-training-faces,30.03003003003003,42.9237,1289,1280x720,h264,aac,0.0,,inswapper_128,Male,English,25–34,QuickTime (Mac default),MacBook (any model),MacBook Air M1,False,"[{'category': 'deictic', 'type': 'gesture', 'description': 'point upward'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point to self'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'facepalm'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'postural', 'type': 'pose', 'description': 'elbows on knees'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'shrug'}, {'category': 'facial', 'type': 'pose', 'description': 'pursed lips'}, {'category': 'head', 'type': 'pose', 'description': 'slow head nod'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic writing'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away left'}]",variable,['v1.0.0_dataset'],2025-06-16T18:16:01.291102Z,,42.9237,10000/333,10000/333,1280,720,False,,h264,1289,36327455,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/10000,True,mov,,,,,,,facefusion-identity-swap/00627
00624--9ee8ce90-a487-4cbc-abbe-40818f9a25d8,raw,624,9ee8ce90-a487-4cbc-abbe-40818f9a25d8,grl-mleng-dsfactory-training-video-data,raw/00624/9ee8ce90-a487-4cbc-abbe-40818f9a25d8.mov,,,14.901857299193592,51.5372,768,1280x720,h264,aac,,,,Male,English,18–24,Windows Camera App (Windows default),Windows laptop,IdeaPad 5 14ITL05,False,"[{'category': 'postural', 'type': 'pose', 'description': 'slouch'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point at screen'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'facepalm'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'head shake'}, {'category': 'facial', 'type': 'pose', 'description': 'smile'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic typing'}, {'category': 'head', 'type': 'pose', 'description': 'head tilt left'}, {'category': 'gaze', 'type': 'pose', 'description': 'look down'}]",variable,['v1.0.0_dataset'],2025-06-16T18:14:41.907267Z,,51.5372,15000/1001,1920000/128843,1280,720,True,aac,h264,768,4217514,Main,yuvj420p,yuvj420p,pc,unknown,unknown,unknown,left,progressive,1/30000,True,mp4,0.900913,691.0,76.0,1911.0,2409.0,True,raw/00624
00624--9ee8ce90-a487-4cbc-abbe-40818f9a25d8,facefusion-identity-swap-v1,624,9ee8ce90-a487-4cbc-abbe-40818f9a25d8,grl-mleng-dsfactory-training-video-data,facefusion-identity-swap/00624/00624_9ee8ce90-a487-4cbc-abbe-40818f9a25d8.mov,00108/46e33cef-03a5-4cb6-9942-48fe31f16754_face_crop.png,grl-mleng-dsfactory-training-faces,14.901857299193592,51.5372,768,1280x720,h264,aac,0.0,,inswapper_128,Male,English,18–24,Windows Camera App (Windows default),Windows laptop,IdeaPad 5 14ITL05,False,"[{'category': 'postural', 'type': 'pose', 'description': 'slouch'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point at screen'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'facepalm'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'head shake'}, {'category': 'facial', 'type': 'pose', 'description': 'smile'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic typing'}, {'category': 'head', 'type': 'pose', 'description': 'head tilt left'}, {'category': 'gaze', 'type': 'pose', 'description': 'look down'}]",variable,['v1.0.0_dataset'],2025-06-16T18:14:41.907267Z,,51.5372,516707/34674,516707/34674,1280,720,False,,h264,768,21359157,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/516707,True,mov,,,,,,,facefusion-identity-swap/00624
00574--444330d7-a012-46d8-a44c-4549d63a650e,raw,574,444330d7-a012-46d8-a44c-4549d63a650e,grl-mleng-dsfactory-training-video-data,raw/00574/444330d7-a012-46d8-a44c-4549d63a650e.mov,,,29.796853544066067,52.291769,1558,1280x720,h264,aac,,,,Male,English,35–44,Windows Camera App (Windows default),Windows laptop,Lenovo Ideapad Y500,False,"[{'category': 'head', 'type': 'pose', 'description': 'slow head nod'}, {'category': 'postural', 'type': 'pose', 'description': 'slouch'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'nod'}, {'category': 'postural', 'type': 'pose', 'description': 'lean back'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'peace sign'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point forward'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'iconic', 'type': 'gesture', 'description': 'drawing zigzag in air'}]",variable,['v1.0.0_dataset'],2025-06-16T18:17:00.487568Z,,52.291792,60/1,7790000/261437,1280,720,True,aac,h264,1558,8117569,Main,yuvj420p,yuvj420p,pc,bt470bg,reserved,bt709,top,progressive,1/30000,True,mp4,0.807964,1258.0,299.0,956.0,1400.0,True,raw/00574
00574--444330d7-a012-46d8-a44c-4549d63a650e,facefusion-identity-swap-v1,574,444330d7-a012-46d8-a44c-4549d63a650e,grl-mleng-dsfactory-training-video-data,facefusion-identity-swap/00574/00574_444330d7-a012-46d8-a44c-4549d63a650e.mov,00283/1ad323c2-7d1f-4a8a-a976-b557f2e7c95c_face_crop.png,grl-mleng-dsfactory-training-faces,29.796853544066067,52.291769,1558,1280x720,h264,aac,0.0,,inswapper_128,Male,English,35–44,Windows Camera App (Windows default),Windows laptop,Lenovo Ideapad Y500,False,"[{'category': 'head', 'type': 'pose', 'description': 'slow head nod'}, {'category': 'postural', 'type': 'pose', 'description': 'slouch'}, {'category': 'affective', 'type': 'gesture', 'description': 'palms rubbing'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'nod'}, {'category': 'postural', 'type': 'pose', 'description': 'lean back'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'peace sign'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point forward'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'iconic', 'type': 'gesture', 'description': 'drawing zigzag in air'}]",variable,['v1.0.0_dataset'],2025-06-16T18:17:00.487568Z,,52.2874,998135/33498,998135/33498,1280,720,False,,h264,1558,30462947,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/998135,True,mov,,,,,,,facefusion-identity-swap/00574
